# A_V dust_index
0.05318107667210442 -0.8707124010554088
0.06786296900489397 -0.8337730870712401
0.08580750407830345 -0.7941952506596305
0.10375203915171288 -0.7572559366754616
0.12169657422512237 -0.7203166226912927
0.13800978792822188 -0.6781002638522426
0.15921696574225125 -0.6358839050131925
0.18042414355628061 -0.5910290237467017
0.19836867862969004 -0.5514511873350921
0.22283849918433934 -0.4986807387862796
0.24730831973898854 -0.44591029023746687
0.28156606851549765 -0.39841688654353546
0.3092985318107668 -0.3588390501319261
0.3370309951060359 -0.3271767810026385
0.36313213703099506 -0.2928759894459101
0.40391517128874393 -0.2612137203166225
0.43654159869494297 -0.22691292875989433
0.47732463295269173 -0.1978891820580475
0.5115823817292007 -0.17678100263852214
0.5507340946166395 -0.15567282321899722
0.6013050570962482 -0.1345646437994723
0.6518760195758564 -0.11609498680738772
0.700815660685155 -0.10026385224274392
0.7497553017944536 -0.08707124010554068
0.8019575856443719 -0.06596306068601576
0.8460032626427407 -0.04485488126649062
0.8851549755301795 -0.01846965699208436
0.9324632952691683 0.007915567282322122
0.9830342577487765 0.0395778364116095
1.033605220228385 0.06596306068601598
1.0792822185970636 0.0949868073878628
1.1282218597063622 0.1266490765171504
1.1853181076672104 0.15567282321899767
1.2342577487765092 0.18997361477572583
1.2799347471451876 0.20316622691292885
1.3272430668841761 0.2084432717678102
